id,name,team_id,team_name
22716,Juhan,53168,GIANTX
21610,Daglas,47370,Team Vitality
22327,Sheiden,47499,Dignitas
24481,Keine,47499,Dignitas
22074,Tomo,47497,100 Thieves
23379,Isles,47499,Dignitas
21470,GuGer,52747,NongShim REDFORCE
25294,WildTurtle,53073,Shopify Rebellion
39845,Linfeng,369,Oh My God
19876,Kisee,48173,Vivo Keyd Stars
27580,Grevthar,52573,RED Kalunga
22917,Aegis,52573,RED Kalunga
24977,Pullbae,52817,OKSavingsBank BRION
24181,Spica,47499,Dignitas
21778,cody,47757,LEVIATÁN
26963,ProDelta,47757,LEVIATÁN
29438,milkyyway,47514,FunPlus Phoenix
122451,Jiaqi,47514,FunPlus Phoenix
21821,Burdol,368,LGD Gaming
24269,Fudge,47351,Cloud9
25226,Ceos,53073,Shopify Rebellion
25221,Poby,47376,Fnatic
27349,Skeanz,353,SK Gaming
122448,bat,47514,FunPlus Phoenix
22031,DARKWINGS,52416,Disguised
21400,Smash,47494,T1
111148,Geju,47319,Royal Never Give Up
25019,Xzz,47319,Royal Never Give Up
28728,Quantum ,3483,KWANGDONG FREECS
51738,Shini,47960,LOUD
25070,Dove,47499,Dignitas
28552,FNC Wunder,47435,Team Heretics
24486,beishang,369,Oh My God
122858,charlotte,369,Oh My God
25090,FIESTA,52747,NongShim REDFORCE
20907,xiaolaohu,47514,FunPlus Phoenix
24137,Tomio,53073,Shopify Rebellion
25428,DDoiV,52817,OKSavingsBank BRION
21095,Perkz,47435,Team Heretics
20724,Kaiser,47435,Team Heretics
29443,xiaofang,369,Oh My God
23124,Way,407,KT Rolster
20636,Leyan,52905,Shenzhen NINJAS IN PYJAMAS
122821,5t5,52726,Suzhou LNG Ninebot Esports
112974,milkyway,47514,FunPlus Phoenix
123512,xiaohuangren,52606,THUNDERTALKGAMING
26945,Yampi,48070,Fluxo W7M
29547,curty,48070,Fluxo W7M
26234,Meteor,368,LGD Gaming
21651,haichao,368,LGD Gaming
29445,Shaoye,368,LGD Gaming
26301,Jinjiao,368,LGD Gaming
136459,fishone,52726,Suzhou LNG Ninebot Esports
122817,OvO,52726,Suzhou LNG Ninebot Esports
26275,HamBak,52817,OKSavingsBank BRION
27459,Drakehero,48070,Fluxo
29034,Gakgos,340,FlyQuest
73103,ZUIAN,47472,Invictus Gaming
112970,Cryin,47509,SHANGHAI EDWARD GAMING HYCAN
112972,Wink,47509,SHANGHAI EDWARD GAMING HYCAN
24902,Cryin ,47509,SHANGHAI EDWARD GAMING HYCAN
144480,iyy,47514,FunPlus Phoenix
20406,Thayger,55749,Natus Vincere
20122,Hans SamD,55749,Natus Vincere
26475,Soboro,4035,BNK FearX
27540,Daystar,4035,BNK FearX
26577,Scamber,48173,Vivo Keyd Stars
20289,Decade,3113,Ultra Prime
56779,TheNiu,47514,FunPlus Phoenix
20760,Paduck,407,KT Rolster
0ce2dd5c-bd8e-4314-8a45-bd6d09629aca,,52817,OKSavingsBank BRION
c42aed31-4a60-469c-b92e-e3cd503d3bd0,,52817,OKSavingsBank BRION
25203,Lele,47319,Royal Never Give Up
36482,SORROW,47514,FunPlus Phoenix
43084,Trick,106,Rogue
138399,Yayo,54198,LYON
26400,QiuQiu,52606,THUNDER TALK GAMING
20555,Lira,47499,Dignitas
122336,Rosielove,3113,Ultra Prime
144684,Sav1or,368,Hangzhou LGD Gaming
23353,Trigger,52747,NONGSHIM RED FORCE
22448,Zamudo,54284,Isurus
26261,Guwon,47494,T1
105448,XBear,52822,WeiboGaming TapTap
